account,name,link
@oliviodare@scholar.social,Max Bautista Perpinyà | H,https://scholar.social/@oliviodare
@dim@mastodon.sdf.org,Dimitri Coelho Mollo | P,https://mastodon.sdf.org/@dim
@jason_m_kelly@fediscience.org,Jason Kelly | H,https://fediscience.org/web/@jason_m_kelly
@dfaria@masto.pt,Domingos Faria | P,https://masto.pt/@dfaria
@cepaea@mstdn.social,Roberta L Millstein | HPS,https://mstdn.social/@cepaea
@ThierryJoffredo@mamot.fr,H,https://mamot.fr/@ThierryJoffredo
@pence@scholar.social,Charles H. Pence | HPS,https://scholar.social/@pence
@ivanflis@mastodon.online,Ivan Flis | HPS,https://mastodon.online/@ivanflis
@cruwell@nerdculture.de,Sophia Crüwell | P,https://nerdculture.de/@cruwell
@jpjjr1961@scholar.social,John Jackson | HPS,https://scholar.social/@jpjjr1961
@scott_bot@scholar.social,Scott B. Weingart | HPS,https://scholar.social/@scott_bot
@cktai@scholar.social,Chaokang Tai | H,https://scholar.social/@cktai
@erantal@mstdn.social,Eran Tal | P,https://mstdn.social/@
@adamquinn@mstdn.social,Adam Quinn | H,https://mstdn.social/@adamquinn
@undercoverhistorian@econtwitter.net,Beatrice Cherrier  | H,https://econtwitter.net/web/@undercoverhistorian
@bojacobs@mastodon.social,Bo Jacobs | H,https://mastodon.social/@bojacobs
@marshall_0i@mastodon.social,Marshall Abrams | P,https://mastodon.social/@marshall_0i
@haushoferl@mastodon.social,Lisa Haushofer | H,https://mastodon.social/@haushoferl
@jeroenvanbouwel@scholar.social,Jeroen Van Bouwel | HPS,https://scholar.social/@jeroenvanbouwel
