account,name,gang,link
@oliviodare@scholar.social,Max Bautista Perpinyà,H,https://scholar.social/@oliviodare
@dim@mastodon.sdf.org,Dimitri Coelho Mollo,P,https://mastodon.sdf.org/@dim
@jason_m_kelly@fediscience.org,Jason Kelly,H,https://fediscience.org/web/@jason_m_kelly
@dfaria@masto.pt,Domingos Faria,P,https://masto.pt/@dfaria
@cepaea@mstdn.social,Roberta L Millstein,HPS,https://mstdn.social/@cepaea
@ThierryJoffredo@mamot.fr,Thierry Joffredo,H,https://mamot.fr/@ThierryJoffredo
@pence@scholar.social,Charles H. Pence,HPS,https://scholar.social/@pence
@ivanflis@mastodon.online,Ivan Flis,HPS,https://mastodon.online/@ivanflis
@cruwell@nerdculture.de,Sophia Crüwell,P,https://nerdculture.de/@cruwell
@jpjjr1961@scholar.social,John Jackson,HPS,https://scholar.social/@jpjjr1961
@scott_bot@scholar.social,Scott B. Weingart,HPS,https://scholar.social/@scott_bot
@cktai@scholar.social,Chaokang Tai,H,https://scholar.social/@cktai
@erantal@mstdn.social,Eran Tal,P,https://mstdn.social/@erantal
@adamquinn@mstdn.social,Adam Quinn,H,https://mstdn.social/@adamquinn
@undercoverhistorian@econtwitter.net,Beatrice Cherrier ,H,https://econtwitter.net/web/@undercoverhistorian
@bojacobs@hcommons.social,Bo Jacobs,H,https://hcommons.social/@bojacobs
@marshall_0i@mastodon.social,Marshall Abrams,P,https://mastodon.social/@marshall_0i
@haushoferl@mastodon.social,Lisa Haushofer,H,https://mastodon.social/@haushoferl
@jeroenvanbouwel@scholar.social,Jeroen Van Bouwel,HPS,https://scholar.social/@jeroenvanbouwel
@eneswald@mastodon.social,Octobeth,H,https://mastodon.social/@eneswald
@davidfreis@augsburg.social,David Freis,H,https://augsburg.social/@davidfreis
@moneschleper@mas.to,Simone Schleper,H,https://mas.to/@moneschleper
@pkhardy@mastodon.social,Penelope Hardy,H,https://mastodon.social/@pkhardy
@Abiwoods@mastodonapp.uk,abigail woods,H,https://mastodonapp.uk/web/@Abiwoods
@amroos@mastodon.social,Anna Marie Roos,H,https://mastodon.social/@amroos
@wilko@scholar.social,Wilko Hardenberg,H,https://scholar.social/@wilko
@surliertexan@witches.live,Alexis Turner,H,https://witches.live/@surliertexan
@jswilkins@fediscience.org,John Wilkins,HPS,https://fediscience.org/@jswilkins
@drlynnchiu@ecoevo.social,Lynn Chiu,P,https://ecoevo.social/@drlynnchiu
@ehud@scholar.social,Ehud Lamm,HPS,https://scholar.social/@ehud
@SylviaFysica@scholar.social,Sylvia Wenmackers,P,https://scholar.social/@SylviaFysica
@emgerson@mstdn.social,Elihu M. Gerson,HPS,https://mstdn.social/@emgerson
@CuffaroMichael@mastodon.social,Michael Cuffaro,HPS,https://mastodon.social/@CuffaroMichael
@SamFellowesHPS@mastodonapp.uk,Sam Fellowes,HPS,https://mastodonapp.uk/@SamFellowesHPS
@AFabregasTejeda@mstdn.social,Alejandro Fábregas-Tejeda,HPS,https://mstdn.social/@AFabregasTejeda
@sabrinakirschner@mastodon.social,Sabrina Kirschner,H,https://mastodon.social/@sabrinakirschner
@organologist@mstdn.social,Tom Quick,H,https://mstdn.social/@organologist
@aileenfyfe@mastodon.scot,Aileen Fyfe,H,https://mastodon.scot/@aileenfyfe
@alexcsiszar@fediscience.org,Alex Csiszar,H,https://fediscience.org/@alexcsiszar
@rhiggitt@mstdn.social,Rebekah Higgitt,H,https://mstdn.social/@rhiggitt
@acevedo@dizl.de,Juan Acevedo,HPS,https://dizl.de/@acevedo
@tamernawar@fediscience.org,Tamer Nawar,HPS,https://fediscience.org/@tamernawar
@enthist@mastodon.social,Dominik Huenniger,H,https://mastodon.social/@enthist
@theodorajewell@mastodon.social,Theodora Dryer,HPS,https://mastodon.social/@theodorajewell
@Mathieu_Marion@fediscience.org,Mathieu Marion,HPS,https://fediscience.org/@Mathieu_Marion
@alexbryant@mastodon.lol,Alex Bryant,HPS,https://mastodon.lol/@alexbryant
@qruyant@scholar.social,Quentin Ruyant,P,https://scholar.social/@qruyant
@davidribes@hci.social,David Ribes,HPS,https://hci.social/@davidribes
@ivanfr@mastodon.uno,Ivan Fuentes-Rojas,HPS,https://mastodon.uno/@ivanfr
@benjaminefrati@hcommons.social,Benjamin Efrati,P,https://hcommons.social/web/@benjaminefrati
@bmleitner@mas.to,Bernhard Leitner,H,https://mas.to/@bmleitner
@brimwats@scholar.social,bri watson,H,https://scholar.social/@brimwats
@tefkah@akademienl.social,Thomas F. K. Jorna,P,https://akademienl.social/@tefkah
@helenasheehan@mastodon.ie,Helena Sheehan,HPS,https://mastodon.ie/web/@HelenaSheehan
@Wilhelm_Grafe@fediphilosophy.org,Friedrich Wilhelm Grafe,P,https://fediphilosophy.org/@Wilhelm_Grafe
@thomasseiller@lipn.info,Thomas Seiller,P,https://lipn.info/@thomasseiller
@elisabethy@hcommons.social,Elisabeth M. Yang,HPS,https://hcommons.social/@elisabethy
@elisabethy@zirk.us,Elisabeth M. Yang,HPS,https://zirk.us/@elisabethy
@Assurnasirpal@mas.to,Jaime de la Fuente,H,https://mas.to/@Assurnasirpal
@juliusschaxel@zirk.us,Christian Reiß,H,https://zirk.us/@juliusschaxel
@MalthusJohn@c.im,@MalthusJohn@c.im,HPS,https://c.im/@MalthusJohn
@yannbd@fediscience.org,Yann Benétreau-Dupin,HPS,https://fediscience.org/@yannbd
